Jaar ,Aanrekening,Naam,Stefaan Gechecked,Opmerking
20150820, FACT 000127 , VM Vastgoedbeheer.PDF,,
20150914, FACT 000128 , Electrabel.PDF,,
20150914, FACT 000129 , Electrabel.PDF,,
20150914, FACT 000130 , Electrabel.PDF,,
20150914, FACT 000131 , Electrabel.PDF,,
20150914, FACT 000132 , Electrabel.PDF,,
20150914, FACT 000133 , Electrabel.PDF,,
20150914, FACT 000134 , Electrabel.PDF,,
20150914, FACT 000135 , Electrabel.PDF,,
20150914, FACT 000136 , Electrabel.PDF,,
20150914, FACT 000137 , Electrabel.PDF,,
20150914, FACT 000138 , Electrabel.PDF,,
20150917, FACT 000115 , VM Vastgoedbeheer.pdf,,
20150917, FACT 000124 , VM Vastgoedbeheer.pdf,,
20150924, FACT 000117 , Tech Assist.pdf,,
20150925, FACT 000118 , Tech Assist.pdf,,
20150928, FACT 000126 , Facility Comfort.pdf,,
20150929, FACT 000139 , Somati Systems.PDF,,
20150930, FACT 000140 , Electro Corbeels.PDF,,
20151001, 2016.00268 De Watergroep Annul factuur 2x geboek in 201410-201509 27,34 Eur.pdf,,
20151001, 2016.00269 De Watergroep Annul factuur 2x geboek in 201410-201509 51,19 Eur.pdf,,
20151001, FACT 000001 , KBC Verzekeringen(1).pdf,,
20151001, FACT 000001 , KBC Verzekeringen.pdf,,
20151001, FACT 000002 , Electrabel(1).PDF,,
20151001, FACT 000002 , Electrabel.PDF,,
20151014, FACT 000003 , Electrabel.PDF,,
20151014, FACT 000004 , Electrabel.PDF,,
20151014, FACT 000006 , Electrabel.TIF,,
20151014, FACT 000007 , Electrabel.TIF,,
20151014, FACT 000008 , Electrabel.TIF,,
20151014, FACT 000009 , Electrabel.TIF,,
20151014, FACT 000010 , Electrabel.TIF,,
20151014, FACT 000011 , Electrabel.TIF,,
20151014, FACT 000012 , Electrabel.TIF,,
20151014, FACT 000013 , Electrabel.TIF,,
20151014, FACT 000014 , Electrabel.TIF,,
20151020, FACT 000018 , De Watergroep.PDF,,
20151020, FACT 000019 , De Watergroep.PDF,,
20151021, FACT 000005 , VM Vastgoedbeheer.pdf,,
20151021, FACT 000017 , Proximus (Belgacom).PDF,,
20151028, FACT 000015 , Facility Comfort.pdf,,
20151030, FACT 000016 , Facility Comfort.pdf,,
20151031, FACT 000041 , Keller Lufttechnik Benelux.PDF,,
20151101, FACT 000034 , Electrabel.PDF,,
20151103, FACT 000021 , Electrabel.PDF,,
20151109, FACT 000020 , VM Vastgoedbeheer(1).pdf,,
20151109, FACT 000020 , VM Vastgoedbeheer.pdf,,
20151113, FACT 000036 , L-Door.TIF,,
20151115, FACT 000023 , Electrabel.PDF,,
20151115, FACT 000024 , Electrabel.PDF,,
20151115, FACT 000025 , Electrabel.PDF,,
20151115, FACT 000026 , Electrabel.PDF,,
20151115, FACT 000027 , Electrabel.PDF,,
20151115, FACT 000028 , Electrabel(1).PDF,,
20151115, FACT 000028 , Electrabel.PDF,,
20151115, FACT 000030 , Electrabel.PDF,,
20151115, FACT 000031 , Electrabel.PDF,,
20151115, FACT 000032 , Electrabel.PDF,,
20151115, FACT 000033 , Electrabel.PDF,,
20151117, FACT 000035 , Van Welden.pdf,,
20151119, FACT 000022 , VM Vastgoedbeheer.pdf,,
20151119, FACT 000029 , VM Vastgoedbeheer.pdf,,
20151122, FACT 000042 , Proximus (Belgacom).PDF,,
20151126, FACT 000037 , VM Vastgoedbeheer.pdf,,
20151128, FACT 000038 , Facility Comfort.pdf,,
20151201, FACT 000039 , Electrabel.PDF,,
20151210, FACT 000040 , Facility Comfort.pdf,,
20151215, FACT 000043 , Electrabel.pdf,,
20151215, FACT 000044 , Electrabel.pdf,,
20151215, FACT 000045 , Electrabel.pdf,,
20151215, FACT 000046 , Electrabel.pdf,,
20151215, FACT 000047 , Electrabel.pdf,,
20151215, FACT 000048 , Electrabel.pdf,,
20151215, FACT 000049 , Electrabel.pdf,,
20151215, FACT 000050 , Electrabel.pdf,,
20151215, FACT 000051 , Electrabel.pdf,,
20151215, FACT 000052 , Electrabel.pdf,,
20151215, FACT 000053 , Electrabel.pdf,,
20151220, FACT 000059 , Proximus (Belgacom).pdf,,
20151223, FACT 000054 , VUNDELINCKX - Peeters.pdf,,
20151223, FACT 000055 , VM Vastgoedbeheer.pdf,,
20151226, FACT 000057 , Tech Assist.pdf,,
20151228, FACT 000056 , Facility Comfort.pdf,,
20151228, FACT 000058 , VM Vastgoedbeheer.pdf,,
20151229, FACT 000060 , ThyssenKrupp Liften.pdf,,
20160101, FACT 000061 , Van Welden.pdf,,
20160104, FACT 000062 , Electrabel.pdf,,
20160113, FACT 000223 , SLEUTELDIENST SCHOL Eric - Bijlage 1.pdf,,
20160113, FACT 000223 , SLEUTELDIENST SCHOL Eric.pdf,,
20160114, FACT 000063 , Electrabel.pdf,,
20160114, FACT 000064 , Electrabel.pdf,,
20160114, FACT 000065 , Electrabel.pdf,,
20160114, FACT 000066 , Electrabel.pdf,,
20160114, FACT 000067 , Electrabel.pdf,,
20160114, FACT 000068 , Electrabel.pdf,,
20160114, FACT 000069 , Electrabel.pdf,,
20160114, FACT 000070 , Electrabel.pdf,,
20160114, FACT 000071 , Electrabel.pdf,,
20160114, FACT 000072 , Electrabel.pdf,,
20160114, FACT 000073 , Electrabel.pdf,,
20160121, FACT 000074 , Tech Assist.pdf,,
20160121, FACT 000082 , Proximus (Belgacom).pdf,,
20160122, FACT 000077 , Wauters - CHAMPAGNE Patrick - Nancy.pdf,,
20160125, FACT 000075 , L-Door - Bijlage 1.pdf,,
20160125, FACT 000075 , L-Door.pdf,,
20160126, FACT 000076 , VM Vastgoedbeheer.pdf,,
20160127, FACT 000078 , Facility Comfort.pdf,,
20160127, FACT 000079 , Tech Assist.pdf,,
20160129, FACT 000081 , Tech Assist.pdf,,
20160131, FACT 000080 , Facility Comfort.pdf,,
20160201, FACT 000083 , Electrabel.pdf,,
20160209, FACT 000084 , BTV Technisch Bureau Verbrugghen.pdf,,
20160214, FACT 000085 , Electrabel.pdf,,
20160214, FACT 000086 , Electrabel.pdf,,
20160214, FACT 000087 , Electrabel.pdf,,
20160214, FACT 000088 , Electrabel.pdf,,
20160214, FACT 000089 , Electrabel.pdf,,
20160214, FACT 000090 , Electrabel.pdf,,
20160214, FACT 000091 , Electrabel.pdf,,
20160214, FACT 000092 , Electrabel.pdf,,
20160214, FACT 000093 , Electrabel.pdf,,
20160214, FACT 000094 , Electrabel.pdf,,
20160218, FACT 000098 , Proximus (Belgacom).PDF,,
20160223, FACT 000143 , Tech Assist.pdf,,
20160225, FACT 000099 , Tech Assist.pdf,,
20160225, FACT 000100 , L-Door.pdf,,
20160225, FACT 000104 , ThyssenKrupp Liften.PDF,,
20160228, FACT 000101 , Facility Comfort.pdf,,
20160229, FACT 000102 , Facility Comfort.pdf,,
20160301, FACT 000103 , Electrabel.pdf,,
20160308, FACT 000105 , SLEUTELDIENST SCHOL Eric.pdf,,
20160314, FACT 000106 , Electrabel.pdf,,
20160314, FACT 000107 , Electrabel.pdf,,
20160314, FACT 000108 , Electrabel.pdf,,
20160314, FACT 000109 , Electrabel.pdf,,
20160314, FACT 000110 , Electrabel.pdf,,
20160314, FACT 000111 , Electrabel.pdf,,
20160314, FACT 000112 , Electrabel.pdf,,
20160314, FACT 000113 , Electrabel.pdf,,
20160314, FACT 000114 , Electrabel.pdf,,
20160314, FACT 000115 , Electrabel.pdf,,
20160314, FACT 000116 , Electrabel.pdf,,
20160317, FACT 000120 , Sani - ontstopping.pdf,,
20160317, FACT 000120 , Sani-ontstopping.pdf,,
20160317, FACT 000121 , Proximus (Belgacom).PDF,,
20160318, FACT 000117 , VM Vastgoedbeheer.pdf,,
20160321, FACT 000118 , VM Vastgoedbeheer.pdf,,
20160322, FACT 000130 , Vanerum S&D NV.pdf,,
20160323, FACT 000119 , Sani - ontstopping.pdf,,
20160323, FACT 000119 , Sani-ontstopping.pdf,,
20160323, FACT 000125 , A.A. Paul Verschueren bvba.pdf,,
20160328, FACT 000122 , Facility Comfort.pdf,,
20160329, FACT 000126 , ThyssenKrupp Liften.PDF,,
20160331, FACT 000123 , L-Door.pdf,,
20160403, FACT 000124 , Electrabel.pdf,,
20160407, FACT 000127 , L-Door.pdf,,
20160407, FACT 000128 , Electrabel.pdf,,
20160407, FACT 000129 , Electrabel.pdf,,
20160407, FACT 000131 , Electrabel.pdf,,
20160407, FACT 000132 , Electrabel.pdf,,
20160408, FACT 000138 , Tech Assist.pdf,,
20160410, FACT 000133 , Electrabel.pdf,,
20160410, FACT 000134 , Electrabel.pdf,,
20160410, FACT 000135 , Electrabel.pdf,,
20160410, FACT 000136 , Electrabel.pdf,,
20160410, FACT 000137 , Electrabel.pdf,,
20160411, FACT 000139 , Facility Comfort.pdf,,
20160411, FACT 000140 , Facility Comfort.pdf,,
20160411, FACT 000141 , Electrabel.pdf,,
20160411, FACT 000142 , Electrabel.pdf,,
20160414, FACT 000144 , Electrabel.pdf,,
20160414, FACT 000145 , Electrabel.pdf,,
20160414, FACT 000146 , Electrabel.pdf,,
20160414, FACT 000147 , Electrabel.pdf,,
20160414, FACT 000148 , Electrabel.pdf,,
20160414, FACT 000149 , Electrabel.pdf,,
20160414, FACT 000150 , Electrabel.pdf,,
20160414, FACT 000151 , Electrabel.pdf,,
20160414, FACT 000152 , Electrabel.pdf,,
20160414, FACT 000153 , Electrabel.pdf,,
20160414, FACT 000154 , Electrabel.pdf,,
20160414, FACT 000155 , L-Door.pdf,,
20160419, FACT 000159 , De Watergroep.pdf,,
20160419, FACT 000160 , De Watergroep.pdf,,
20160420, FACT 000156 , VM Vastgoedbeheer.pdf,,
20160420, FACT 000157 , VM Vastgoedbeheer.pdf,,
20160420, FACT 000158 , Proximus (Belgacom).PDF,,
20160420, FACT 000161 , De Watergroep.pdf,,
20160420, FACT 000162 , De Watergroep.pdf,,
20160420, FACT 000164 , Somati Systems.pdf,,
20160420, FACT 000165 , Somati Systems.pdf,,
20160421, FACT 000163 , Somati Systems.pdf,,
20160428, FACT 000166 , Facility Comfort.pdf,,
20160503, FACT 000167 , Electrabel.pdf,,
20160506, FACT 000180 , De Watergroep.pdf,,
20160506, FACT 000181 , De Watergroep.pdf,,
20160516, FACT 000168 , Electrabel.pdf,,
20160516, FACT 000169 , Electrabel.pdf,,
20160516, FACT 000170 , Electrabel.pdf,,
20160516, FACT 000171 , Electrabel.pdf,,
20160516, FACT 000172 , Electrabel.pdf,,
20160516, FACT 000173 , Electrabel.pdf,,
20160516, FACT 000174 , Electrabel.pdf,,
20160516, FACT 000175 , Electrabel.pdf,,
20160516, FACT 000176 , Electrabel.pdf,,
20160516, FACT 000177 , Electrabel.pdf,,
20160516, FACT 000178 , Electrabel.pdf,,
20160517, FACT 000179 , VM Vastgoedbeheer.pdf,,
20160523, FACT 000184 , Proximus (Belgacom).PDF,,
20160528, FACT 000182 , Facility Comfort.pdf,,
20160531, FACT 000183 , Facility Comfort.pdf,,
20160601, FACT 000185 , Electrabel.pdf,,
20160601, FACT 000186 , Tech Assist.pdf,,
20160607, FACT 000187 , Somati Systems.pdf,,
20160614, FACT 000188 , Electrabel.pdf,,
20160614, FACT 000189 , Electrabel.pdf,,
20160614, FACT 000190 , Electrabel.pdf,,
20160614, FACT 000191 , Electrabel.pdf,,
20160614, FACT 000192 , Electrabel.pdf,,
20160614, FACT 000193 , Electrabel.pdf,,
20160614, FACT 000194 , Electrabel.pdf,,
20160614, FACT 000195 , Electrabel.pdf,,
20160614, FACT 000196 , Electrabel.pdf,,
20160614, FACT 000197 , Electrabel.pdf,,
20160614, FACT 000198 , Electrabel.pdf,,
20160620, FACT 000199 , VM Vastgoedbeheer.pdf,,
20160620, FACT 000200 , VM Vastgoedbeheer.pdf,,
20160620, FACT 000201 , Sani-ontstopping.pdf,,
20160621, FACT 000204 , Proximus (Belgacom).PDF,,
20160628, FACT 000202 , Facility Comfort.pdf,,
20160628, FACT 000203 , Facility Comfort.pdf,,
20160703, FACT 000205 , Electrabel.pdf,,
20160712, FACT 000206 , Somati Systems.pdf,,
20160714, FACT 000209 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000209 , Electrabel.pdf,,
20160714, FACT 000210 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000210 , Electrabel.pdf,,
20160714, FACT 000211 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000211 , Electrabel.pdf,,
20160714, FACT 000212 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000212 , Electrabel.pdf,,
20160714, FACT 000213 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000213 , Electrabel.pdf,,
20160714, FACT 000214 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000214 , Electrabel.pdf,,
20160714, FACT 000215 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000215 , Electrabel.pdf,,
20160714, FACT 000216 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000216 , Electrabel.pdf,,
20160714, FACT 000217 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000217 , Electrabel.pdf,,
20160714, FACT 000218 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000218 , Electrabel.pdf,,
20160714, FACT 000219 , Electrabel - Bijlage 1.pdf,,
20160714, FACT 000219 , Electrabel.pdf,,
20160719, FACT 000207 , VM Vastgoedbeheer - Bijlage 1.pdf,,
20160719, FACT 000207 , VM Vastgoedbeheer.pdf,,
20160720, FACT 000220 , Proximus (Belgacom) - Bijlage 1.pdf,,
20160720, FACT 000220 , Proximus (Belgacom).pdf,,
20160725, FACT 000208 , Facility Comfort - Bijlage 1.pdf,,
20160725, FACT 000208 , Facility Comfort - Bijlage 2.pdf,,
20160725, FACT 000208 , Facility Comfort.pdf,,
20160727, FACT 000221 , Facility Comfort - Bijlage 1.pdf,,
20160727, FACT 000221 , Facility Comfort.pdf,,
20160728, FACT 000222 , Facility Comfort - Bijlage 1.pdf,,
20160728, FACT 000222 , Facility Comfort.pdf,,
20160729, FACT 000224 , Tech Assist - Bijlage 1.pdf,,
20160729, FACT 000224 , Tech Assist.pdf,,
20160731, FACT 000263 , VM Vastgoedbeheer.pdf,,
20160801, FACT 000225 , Electrabel - Bijlage 1.pdf,,
20160801, FACT 000225 , Electrabel.pdf,,
20160804, FACT 000226 , Tech Assist - Bijlage 1.pdf,,
20160804, FACT 000226 , Tech Assist.pdf,,
20160804, FACT 000228 , De Watergroep - Bijlage 1.pdf,,
20160804, FACT 000228 , De Watergroep.pdf,,
20160804, FACT 000229 , De Watergroep - Bijlage 1.pdf,,
20160804, FACT 000229 , De Watergroep.pdf,,
20160810, FACT 000227 , Somati Systems - Bijlage 1.pdf,,
20160810, FACT 000227 , Somati Systems.pdf,,
20160815, FACT 000230 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000230 , Electrabel.pdf,,
20160815, FACT 000231 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000231 , Electrabel.pdf,,
20160815, FACT 000232 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000232 , Electrabel.pdf,,
20160815, FACT 000233 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000233 , Electrabel.pdf,,
20160815, FACT 000234 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000234 , Electrabel.pdf,,
20160815, FACT 000235 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000235 , Electrabel.pdf,,
20160815, FACT 000236 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000236 , Electrabel.pdf,,
20160815, FACT 000237 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000237 , Electrabel.pdf,,
20160815, FACT 000238 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000238 , Electrabel.pdf,,
20160815, FACT 000239 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000239 , Electrabel.pdf,,
20160815, FACT 000240 , Electrabel - Bijlage 1.pdf,,
20160815, FACT 000240 , Electrabel.pdf,,
20160817, FACT 000242 , Proximus (Belgacom) - Bijlage 1.pdf,,
20160817, FACT 000242 , Proximus (Belgacom).pdf,,
20160819, FACT 000241 , VM Vastgoedbeheer - Bijlage 1.pdf,,
20160819, FACT 000241 , VM Vastgoedbeheer.pdf,,
20160825, FACT 000244 , ThyssenKrupp Liften - Bijlage 1.pdf,,
20160825, FACT 000244 , ThyssenKrupp Liften.pdf,,
20160826, FACT 000245 , Bart Beullens - Groenbedrijf - Bijlage 1.pdf,,
20160826, FACT 000245 , Bart Beullens - Groenbedrijf.pdf,,
20160828, FACT 000243 , Facility Comfort - Bijlage 1.pdf,,
20160828, FACT 000243 , Facility Comfort.pdf,,
20160831, FACT 000246 , Facility Comfort - Bijlage 1.pdf,,
20160831, FACT 000246 , Facility Comfort.pdf,,
20160831, FACT 000249 , Somati Systems - Bijlage 1.pdf,,
20160831, FACT 000249 , Somati Systems.pdf,,
20160901, FACT 000247 , Electrabel - Bijlage 1.pdf,,
20160901, FACT 000247 , Electrabel.pdf,,
20160905, FACT 000248 , KBC Verzekeringen - Bijlage 1.pdf,,
20160905, FACT 000248 , KBC Verzekeringen.pdf,,
20160914, FACT 000250 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000250 , ENGIE Electrabel.pdf,,
20160914, FACT 000251 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000251 , ENGIE Electrabel.pdf,,
20160914, FACT 000252 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000252 , ENGIE Electrabel.pdf,,
20160914, FACT 000253 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000253 , ENGIE Electrabel.pdf,,
20160914, FACT 000254 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000254 , ENGIE Electrabel.pdf,,
20160914, FACT 000255 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000255 , ENGIE Electrabel.pdf,,
20160914, FACT 000256 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000256 , ENGIE Electrabel.pdf,,
20160914, FACT 000257 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000257 , ENGIE Electrabel.pdf,,
20160914, FACT 000258 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000258 , ENGIE Electrabel.pdf,,
20160914, FACT 000259 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000259 , ENGIE Electrabel.pdf,,
20160914, FACT 000260 , ENGIE Electrabel - Bijlage 1.pdf,,
20160914, FACT 000260 , ENGIE Electrabel.pdf,,
20160919, FACT 000261 , Facility Comfort - Bijlage 1.pdf,,
20160919, FACT 000261 , Facility Comfort.pdf,,
20160919, FACT 000262 , Facility Comfort - Bijlage 1.pdf,,
20160919, FACT 000262 , Facility Comfort.pdf,,
20160919, FACT 000265 , Proximus (Belgacom) - Bijlage 1.pdf,,
20160919, FACT 000265 , Proximus (Belgacom).pdf,,
20160921, FACT 000264 , VM Vastgoedbeheer - Bijlage 1.pdf,,
20160921, FACT 000264 , VM Vastgoedbeheer.pdf,,
20160924, FACT 000266 , Brullemans Raf - Bijlage 1.pdf,,
20160924, FACT 000266 , Brullemans Raf.pdf,,
20160928, FACT 000267 , Facility Comfort - Bijlage 1.pdf,,
20160928, FACT 000267 , Facility Comfort.pdf,,
20161003, FACT 000001 , ENGIE Electrabel - Bijlage 1.pdf,,
20161003, FACT 000001 , ENGIE Electrabel.pdf,,
20161016, FACT 000002 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000002 , ENGIE Electrabel.pdf,,
20161016, FACT 000003 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000003 , ENGIE Electrabel.pdf,,
20161016, FACT 000004 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000004 , ENGIE Electrabel.pdf,,
20161016, FACT 000005 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000005 , ENGIE Electrabel.pdf,,
20161016, FACT 000006 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000006 , ENGIE Electrabel.pdf,,
20161016, FACT 000007 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000007 , ENGIE Electrabel.pdf,,
20161016, FACT 000008 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000008 , ENGIE Electrabel.pdf,,
20161016, FACT 000009 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000009 , ENGIE Electrabel.pdf,,
20161016, FACT 000010 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000010 , ENGIE Electrabel.pdf,,
20161016, FACT 000011 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000011 , ENGIE Electrabel.pdf,,
20161016, FACT 000012 , ENGIE Electrabel - Bijlage 1.pdf,,
20161016, FACT 000012 , ENGIE Electrabel.pdf,,
20161019, FACT 000013 , VM Vastgoedbeheer - Bijlage 1.pdf,,
20161019, FACT 000013 , VM Vastgoedbeheer.pdf,,
20161019, FACT 000014 , B-Cover NV - Bijlage 1.pdf,,
20161019, FACT 000014 , B-Cover NV.pdf,,
20161019, FACT 000017 , Proximus (Belgacom) - Bijlage 1.pdf,,
20161019, FACT 000017 , Proximus (Belgacom).pdf,,
20161025, FACT 000015 , Facility Comfort - Bijlage 1.pdf,,
20161025, FACT 000015 , Facility Comfort.pdf,,
20161025, FACT 000016 , Facility Comfort - Bijlage 1.pdf,,
20161025, FACT 000016 , Facility Comfort.pdf,,
20161025, FACT 000020 , IBIC bvba - Bijlage 1.pdf,,
20161025, FACT 000020 , IBIC bvba.pdf,,
20161028, FACT 000018 , Facility Comfort - Bijlage 1.pdf,,
20161028, FACT 000018 , Facility Comfort.pdf,,
20161028, FACT 000019 , Facility Comfort - Bijlage 1.pdf,,
20161028, FACT 000019 , Facility Comfort.pdf,,
20161031, FACT 000022 , Somati FIE - Bijlage 1.pdf,,
20161031, FACT 000022 , Somati FIE.pdf,,
20161102, FACT 000021 , ENGIE Electrabel - Bijlage 1.pdf,,
20161102, FACT 000021 , ENGIE Electrabel.pdf,,
20161104, FACT 000023 , De Watergroep - Bijlage 1.pdf,,
20161104, FACT 000023 , De Watergroep.pdf,,
20161104, FACT 000024 , De Watergroep - Bijlage 1.pdf,,
20161104, FACT 000024 , De Watergroep.pdf,,
filenames.csv,,,,
